qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	isomer-document-quickstart	d3bf86579ee9	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	isomer-implement-healthcheck	6d43223821ae	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	lpe-rope-calc-document-typing	4e99250b9396	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	lpe-rope-calc-implement-strict-flag	215de8aced3c	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	neon-rain-document-modules	7eb7edb16920	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	neon-rain-implement-reset-shortcut	2c2686da6fd2	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	nothing-ever-happens-document-config	8bfa18ea00e5	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	nothing-ever-happens-manage-deps-audit	8b3886125bde	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	the-game-document-architecture	eaf25418d4a9	done
qwen38_27b_r1_2026_08_17	mono__qwen3.6-27b-6bit-ref	the-game-implement-shuffle-shortcut	b994103608be	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	isomer-document-quickstart	998bd256fa0f	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	isomer-implement-healthcheck	a8de66b7fcf2	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	lpe-rope-calc-document-typing	b8410d3d14ee	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	lpe-rope-calc-implement-strict-flag	4e66bae5e439	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	neon-rain-document-modules	ad4c08833a70	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	neon-rain-implement-reset-shortcut	5ff69f8a97a5	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	nothing-ever-happens-document-config	e80eec6c5182	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	nothing-ever-happens-manage-deps-audit	24a7790e7389	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	the-game-document-architecture	eab12b205bba	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-4bit	the-game-implement-shuffle-shortcut	a3f86415b248	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	isomer-document-quickstart	6a362eed0b68	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	isomer-implement-healthcheck	78e69012cc15	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	lpe-rope-calc-document-typing	7f9b8f1cf587	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	lpe-rope-calc-implement-strict-flag	84c203526c55	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	neon-rain-document-modules	a7fbe311d870	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	neon-rain-implement-reset-shortcut	cea1a6d0b17c	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	nothing-ever-happens-document-config	9220096b9a8c	done
qwen38_27b_r1_2026_08_17	mono__qwen3.8-27b-8bit	nothing-ever-happens-manage-deps-audit	495b4f5c9d43	done
